1 ,UNM North Golf Course          ,28,5,https://unmgolf.unm.edu/                                                          ,505-277-4146
2 ,Puerto Del Sol Golf Course     ,28,3,https://www.cabq.gov/parksandrecreation/recreation/golf/puerto-del-sol-golf-course,505-265-5636
3 ,Arroyo Del Oso Golf Course     ,47,6,http://www.cabq.gov/parksandrecreation/recreation/golf/arroyo-del-oso-golf-course ,505-884-7505
4 ,Los Altos Golf Course          ,46,6,https://www.cabq.gov/parksandrecreation/recreation/golf/los-altos-golf-course     ,505-298-1897
5 ,UNM Championship Golf Course   ,66,9,https://unmgolf.unm.edu/championship-course/rates/                                ,505-277-4546
6 ,Ladera Golf Course             ,46,6,https://www.cabq.gov/parksandrecreation/recreation/golf/ladera-golf-course        ,505-836-4449
7 ,Isleta Golf Course             ,69,7,http://www.isleta.com/golf/default.aspx                                           ,505-848-1900
8 ,Sandia Golf Club               ,70,8,https://www.sandiagolf.com/index.php                                              ,505-798-3990
9 ,NMSU Golf Course               ,33,7,https://golf.nmsu.edu/                                                            ,575-646-3219
10,Sonoma Ranch                   ,49,8,http://www.sonomaranchgolf.com/                                                   ,575-521-1818
11,Red Hawk Golf Club             ,62,5,https://www.redhawkgc.com/                                                        ,575-373-8100
12,Marty Sanchez Links de Santa Fe,48,6,http://www.linksdesantafe.com/                                                    ,505-955-4400
13,Cochiti Golf Club              ,66,9,http://www.cochitigolfclub.com/                                                   ,505-465-2239
14,Towa Golf Club                 ,49,9,https://www.hiltonbuffalothunder.com/golf.html                                    ,505-45-9000
15,Black Mesa Golf Club           ,59,9,http://golfblackmesa.com/                                                         ,505-747-8946


